#nrNodes nrCollisions nrTransmissions OverallEnergy
4000 3614 13394 2331.8469672960005
4000 3601 13269 2310.0849192960004
4000 3742 13576 2363.5325091840004
4000 3625 13178 2294.242148352
4000 3623 13153 2289.8897387520005
4000 3591 13336 2321.7493770240003
4000 3460 13036 2269.5204618240004
4000 3716 13405 2333.7620275200006
4000 3599 13297 2314.9596180480003
4000 3674 13424 2337.0698588160003
500 42 1017 177.05602252800003
500 31 986 171.65903462400001
500 40 990 172.35542016000002
500 48 1055 183.67168512000003
500 24 1001 174.27048038400002
500 28 1040 181.06023936000003
500 28 1054 183.49758873600004
500 30 1102 191.85421516800002
500 30 939 163.476504576
500 42 1040 181.06023936000003
1000 115 1990 346.45180416000005
1000 119 1992 346.79999692800004
1000 143 2066 359.68312934400006
1000 111 2021 351.84879206400007
1000 124 1994 347.14818969600003
1000 107 1962 341.5771054080001
1000 126 2020 351.67469568000007
1000 120 2007 349.411442688
1000 132 1986 345.755418624
1000 137 2049 356.72349081600004
2000 423 4042 703.6975841280001
2000 494 4078 709.9650539520002
2000 502 3995 695.51505408
2000 428 4007 697.6042106880001
2000 448 3986 693.9481866240001
2000 473 3948 687.332524032
2000 439 4043 703.8716805120001
2000 454 3985 693.7740902400001
2000 494 4102 714.143367168
2000 494 4008 697.7783070720001
3000 993 5914 1029.606014976
3000 1094 6106 1063.032520704
3000 975 6130 1067.2108339200001
3000 964 5946 1035.1770992640002
3000 1021 6091 1060.421074944
3000 975 6010 1046.31926784
3000 1060 6063 1055.5463761920003
3000 988 5942 1034.4807137280002
3000 980 5940 1034.1325209600002
3000 1093 6101 1062.162038784
4000 1681 7951 1384.2403491840003
4000 1717 7828 1362.8264939520002
4000 1793 8090 1408.4397465600002
4000 1861 8094 1409.1361320960002
4000 1732 8053 1401.9981803520002
4000 1736 8032 1398.342156288
4000 1748 7990 1391.03010816
4000 1783 8174 1423.0638428160003
4000 1640 7917 1378.3210721280002
4000 1814 8138 1416.7963729920002
5000 2740 10075 1754.0210688000002
5000 2759 10198 1775.4349240320003
5000 2692 10098 1758.0252856320003
500 0 937 163.12831180800003
500 0 1038 180.712046592
500 0 1003 174.618673152
500 0 1010 175.83734784000004
