Scenario,Config,Approach,Nodes,DER
1,SN3,ALOHA,2000,0.9911001236093944
1,SN3,ALOHA,2000,0.995635305528613
1,SN3,ALOHA,2000,0.9961977186311787
1,SN3,ALOHA,2000,0.9954830614805521
1,SN3,ALOHA,2000,0.9965294992563213
1,SN3,ALOHA,2000,0.9940711462450593
1,SN3,ALOHA,2000,0.9925679138903126
1,SN3,ALOHA,3000,0.9917478131704902
1,SN3,ALOHA,3000,0.9907177192110062
1,SN3,ALOHA,3000,0.9936634984158746
1,SN3,ALOHA,3000,0.9916163648558015
1,SN3,ALOHA,3000,0.9905031656114629
1,SN3,ALOHA,3000,0.994891878086157
1,SN3,ALOHA,3000,0.9910335833061624
1,SN3,ALOHA,3000,0.990108803165183
1,SN3,ALOHA,3000,0.9949596774193549
1,SN3,ALOHA,3000,0.9914473684210526
1,SN3,ALOHA,4000,0.9921573509274244
1,SN3,ALOHA,4000,0.991119449656035
1,SN3,ALOHA,4000,0.9869782158938786
1,SN3,ALOHA,4000,0.9893207500310444
1,SN3,ALOHA,4000,0.9896398618648249
1,SN3,ALOHA,4000,0.9921230307576894
1,SN1,Classifier_LBT,4000,0.7285402064963449
1,SN1,Classifier_LBT,4000,0.7301776915036583
1,SN3,ALOHA,4000,0.992504835589942
1,SN3,ALOHA,4000,0.991571641051066
1,SN3,ALOHA,4000,0.9908083606144548
1,SN1,Classifier_LBT,4000,0.724366529169122
1,SN3,ALOHA,4000,0.9904916802201926
1,SN3,ALOHA,5000,0.9873891625615764
1,SN3,ALOHA,5000,0.985774818401937
1,SN3,ALOHA,5000,0.9868381087374709
1,SN3,ALOHA,5000,0.9881117495541906
1,SN3,ALOHA,5000,0.9862836696153464
1,SN3,ALOHA,5000,0.9877830750893921
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,Plain_LBT,500,1.0
1,SN3,ALOHA,5000,0.9869984763839512
1,SN3,ALOHA,5000,0.9900289161431848
1,SN3,Plain_LBT,1000,1.0
1,SN3,ALOHA,5000,0.9871424299810625
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,ALOHA,5000,0.9844652459669389
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,1000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,2000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,3000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,4000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,0.999900149775337
1,SN1,Classifier_LBT,4000,0.7249203217483685
1,SN1,Classifier_LBT,4000,0.7244735041435414
1,SN3,Plain_LBT,5000,1.0
1,SN3,Plain_LBT,5000,1.0
1,SN1,Classifier_LBT,4000,0.7307288542291541
1,SN3,Plain_LBT,5000,1.0
